date,event_name,event_type,minor_event
2025-01-01,New Year,Public Holiday,False
2025-03-30,Eid Al Fitr 1,Public Holiday,False
2025-03-31,Eid Al Fitr 2,Public Holiday,False
2025-06-28,Eid Al-Adha,Public Holiday,False
2025-06-29,Eid Al-Adha Holiday,Public Holiday,False
2025-12-02,UAE National Day,Public Holiday,False
2025-12-03,UAE National Day Holiday,Public Holiday,False
2025-02-14,Valentine's Day,Minor Event,True
2025-03-21,Mother's Day (Eastern),Minor Event,True
2026-01-01,New Year,Public Holiday,False
2026-02-17,Eid Al Fitr 1,Public Holiday,False
2026-02-18,Eid Al Fitr 2,Public Holiday,False
2026-07-17,Eid Al-Adha,Public Holiday,False
2026-07-18,Eid Al-Adha Holiday,Public Holiday,False
2026-12-02,UAE National Day,Public Holiday,False
2026-12-03,UAE National Day Holiday,Public Holiday,False
