time,tavg,tmin,tmax,prcp,wspd,pres,tsun
01-01-2025,22.7,20,27.2,0,18.6,1016.1,0
02-01-2025,21.8,20.4,23.7,0,28.8,1018.5,0
03-01-2025,19.4,16.7,23.4,0,13.2,1020.4,0
04-01-2025,19.3,13,23.1,0,12,1021.4,0
05-01-2025,19.2,14.5,23.3,0,10.9,1020.8,0
06-01-2025,20.4,14.8,26.5,0,13.1,1019.5,0
07-01-2025,21.1,16,27.5,0,10.9,1019.4,0
08-01-2025,20.6,15.5,25.6,0,10.7,1017.4,0
09-01-2025,20.3,16.5,24.5,0,11.8,1015.6,0
10-01-2025,20.6,15.6,25.2,0,11.1,1017.7,0
11-01-2025,21.9,16,28.2,0,10,1018.7,0
12-01-2025,21.7,15.5,27,0,9.8,1018.3,0
13-01-2025,21.4,17.9,24,0.4,15.7,1018.6,0
14-01-2025,20.5,16.6,24.2,0,13.5,1019.1,0
15-01-2025,21.3,16.3,25.3,0,11.2,1020.8,0
16-01-2025,21.7,17.5,25.6,0,11.4,1020.5,0
17-01-2025,19.9,16.5,23.9,0,12.2,1017.5,0
18-01-2025,20.4,16.4,23.8,0,18.9,1014.3,0
19-01-2025,20,15.5,23.5,0,17,1015.5,0
20-01-2025,19.6,15,23,0,13.7,1017.2,0
21-01-2025,20.4,15,24.4,0,22.8,1017.3,0
22-01-2025,20.5,16,25.9,0,16.2,1019.5,0
23-01-2025,20.3,15.4,25.4,0,14.2,1021,0
24-01-2025,20.7,14.7,26.7,0,12.5,1018.1,0
25-01-2025,20.4,14.6,24.8,0,9.1,1017.4,0
26-01-2025,20.9,15.5,25.1,0,10.1,1016.7,0
27-01-2025,22.1,16,27,0,9.9,1014.9,0
28-01-2025,22,18.2,25.4,0,16.6,1014.9,0
29-01-2025,21.1,16.9,24.2,0,15.3,1017.6,0
30-01-2025,20.7,15.7,24.5,0,11.6,1018,0
31-01-2025,21.2,20,23.7,0,15.4,1016.7,0
01-02-2025,20.7,15,25.3,0,10.6,1016.6,0
02-02-2025,20.4,16,23.4,0,16.5,1016.7,0
03-02-2025,20.5,16.3,24.1,0,14,1017.4,0
04-02-2025,19.6,14.8,24.2,0,12.3,1018.9,0
05-02-2025,19.8,14.5,26.6,0,9.9,1016.9,0
06-02-2025,22.8,16.6,30,0,13.2,1014.2,0
07-02-2025,23.4,20.4,28,0,16,1013.5,0
08-02-2025,23.5,21,29,0,20.3,1012.7,0
09-02-2025,21.5,20.9,24.5,0,17.1,1014.2,0
10-02-2025,20.2,16.8,23,0,13.8,1016.7,0
11-02-2025,21,16,25.3,0,10.2,1017.6,0
12-02-2025,24.6,19.3,32,0,11.8,1016.3,0
13-02-2025,26.8,22,33.2,0,14.2,1015.8,0
14-02-2025,25.4,23,30.9,0,14.8,1016.4,0
15-02-2025,23.2,20.4,26.7,0,13,1015.1,0
16-02-2025,24.2,21.9,27.2,0,12.4,1014.2,0
17-02-2025,26.4,22.5,32.5,0,15.8,1013.7,0
18-02-2025,23.8,22,27.3,0,10.8,1015,0
19-02-2025,23.3,21,26.2,0.3,11.3,1014.7,0
20-02-2025,23.4,19.6,28,0.6,11.2,1011.7,0
21-02-2025,25.9,23,31.1,0.3,12.9,1013.2,0
22-02-2025,24.6,21,29.2,0,9.8,1015.1,0
23-02-2025,27.3,20.8,35.4,0,13.1,1012.2,0
24-02-2025,25,24,28.1,0,12.8,1012.1,0
25-02-2025,21.8,19.8,24.6,0,22.6,1016.3,0
26-02-2025,20.4,16.8,23.1,0,13.6,1019,0
27-02-2025,20.7,20,22.2,0,20.6,1018.1,0
28-02-2025,21,19,23,0,19.9,1016.4,0
01-03-2025,20.3,16,24,0,12.8,1015.1,0
02-03-2025,21.2,17.6,24.5,0,16,1014.8,0
03-03-2025,21.4,18,24.7,0,14.6,1017.4,0
04-03-2025,24,17.1,30.5,0,18.9,1016.8,0
05-03-2025,25.3,21.7,31.6,0,18.8,1016.7,0
06-03-2025,26.4,21.6,32.1,0,12.6,1015.9,0
07-03-2025,29.5,23.9,34.6,0,12,1013.1,0
08-03-2025,29.3,24.5,37.4,0,13.3,1009.5,0
09-03-2025,27.7,25,32.3,0,15.8,1010.3,0
10-03-2025,27.3,24.7,31,0.8,13.2,1012.5,0
11-03-2025,29.4,25.6,36.2,0,10.5,1012.8,0
12-03-2025,27.7,25,31.6,0,11.3,1013.4,0
13-03-2025,24.4,22,28,0,14.5,1013.6,0
